"","x"
"1","CG14642"
"2","CG14662"
"3","Sodh-1"
"4","CG18744"
"5","CG45263"
"6","CG9801"
"7","CG34301"
"8","Ir85a"
"9","Nmdmc"
"10","CG16749"
"11","Fst"
"12","MtnA"
"13","Npc2d"
"14","Timp"
"15","CG42394"
"16","CG6908"
"17","CG12594"
"18","CG18547"
"19","CG3397"
"20","GstD2"
"21","GstD3"
"22","GstD4"
"23","GstD5"
"24","GstD8"
"25","alphagamma-element:CR32865"
"26","Hsp70Bc"
"27","CG5724"
"28","CG5999"
"29","CG10126"
"30","CG8774"
"31","CR44138"
"32","CCHa2"
"33","CG9312"
"34","Cyp6d5"
"35","CCHa1"
"36","Cys"
"37","smp-30"
"38","CG44014"
"39","AOX1"
"40","CG5399"
"41","glob1"
"42","Scp2"
"43","Patr-1"
"44","sr"
"45","CG15803"
"46","fru"
"47","CG14302"
"48","CG18208"
"49","CG4562"
"50","CG4783"
"51","MtnC"
"52","MtnB"
"53","MtnE"
"54","MtnD"
"55","r-l"
"56","CG31343"
"57","CG31198"
"58","CG31431"
"59","CG7084"
"60","CG34288"
"61","Pebp1"
"62","Gclm"
"63","CCAP"
"64","klg"
"65","CG16723"
"66","Hsp68"
"67","CG43222"
"68","AstA"
"69","CG11893"
"70","CG10562"
"71","Kaz-m1"
"72","CG6295"
"73","CG6277"
"74","CG3348"
"75","CG12428"
"76","CG11842"
"77","stg"
"78","Jon99Ciii"
"79","Jon99Cii"
"80","CG13912"
"81","CG1246"
"82","Hsp83"
"83","ZnT63C"
"84","CG14989"
"85","CG13704"
"86","CG32407"
"87","yip7"
"88","Jon65Aiv"
"89","Jon65Aiii"
"90","CG6602"
"91","BG642312"
"92","CG42714"
"93","CG10163"
"94","sfl"
"95","CG15829"
"96","CG8628"
"97","Dbi"
"98","CG8620"
"99","CG8596"
"100","CG8562"
"101","CG8539"
"102","CG32368"
"103","h"
"104","CG5804"
"105","CG13315"
"106","Hsp67Bc"
"107","Hsp26"
"108","Hsp23"
"109","Hsp27"
"110","aay"
"111","CG33926"
"112","CG8177"
"113","CG42825"
"114","chrb"
"115","CAH2"
"116","trn"
"117","Nplp2"
"118","CG13482"
"119","CG3868"
"120","CG13460"
"121","CR43684"
"122","CG7272"
"123","Eip71CD"
"124","Mip"
"125","noe"
"126","Jon74E"
"127","CG32195"
"128","CG32204"
"129","Ssk"
"130","asparagine-synthetase"
"131","CG43218"
"132","CG3270"
"133","Tsp42Ea"
"134","Tsp42Ec"
"135","Cyp9b2"
"136","Gadd45"
"137","fa2h"
"138","CG2065"
"139","CG34430"
"140","CG2915"
"141","Mal-A2"
"142","Mal-A3"
"143","ptc"
"144","CG1688"
"145","KCNQ"
"146","Prx2540-1"
"147","CG12934"
"148","alphaTry"
"149","epsilonTry"
"150","betaTry"
"151","Damm"
"152","Cyp6g1"
"153","Obp49a"
"154","CG12374"
"155","sug"
"156","Mdr49"
"157","CG13321"
"158","CG13323"
"159","CG6357"
"160","Arc1"
"161","CG12868"
"162","CG10131"
"163","CG43729"
"164","CG12963"
"165","Picot"
"166","CG34458"
"167","veil"
"168","CG5773"
"169","CG5767"
"170","CG10911"
"171","CG34386"
"172","Dgp-1"
"173","GstE3"
"174","GstE7"
"175","GstE8"
"176","GstE9"
"177","CG43066"
"178","CG10924"
"179","CG15093"
"180","l(2)08717"
"181","cora"
"182","CG15127"
"183","CG30154"
"184","CG30148"
"185","IM4"
"186","cv-2"
"187","CG13492"
"188","Swim"
"189","CG4250"
"190","CG9826"
"191","ITP"
"192","CG17778"
"193","svr"
"194","CR44892"
"195","CG42259"
"196","Tsp2A"
"197","kirre"
"198","dm"
"199","roX1"
"200","CG2930"
"201","CG42541"
"202","cib"
"203","CG15784"
"204","CR43264"
"205","CG42240"
"206","CG4607"
"207","sn"
"208","Gclc"
"209","CG15347"
"210","CG44325"
"211","CR44517"
"212","Zpr1"
"213","CG45060"
"214","CG32683"
"215","CG15211"
"216","CG15210"
"217","CG42249"
"218","CG15199"
"219","CG44422"
"220","Hsc70-3"
"221","Cyp311a1"
"222","GstT4"
"223","CG32633"
"224","inaE"
"225","sog"
"226","CG9914"
"227","CG5010"
"228","Sh"
"229","upd2"
"230","Diedel3"
"231","CG34330"
"232","Mec2"
"233","kraken"
"234","CG4341"
"235","CG4577"
"236","CG43348"
"237","CG43349"
"238","CG5011"
"239","Cyp309a1"
"240","CG31690"
"241","CG33281"
"242","CG12795"
"243","Thor"
"244","drm"
"245","odd"
"246","CG34176"
"247","CG15422"
"248","CG15423"
"249","Vm26Aa"
"250","Cpr"
"251","CG9498"
"252","CG9500"
"253","CG31636"
"254","sens-2"
"255","Gr28b"
"256","CG7191"
"257","Sirup"
"258","Mur29B"
"259","Peritrophin-15a"
"260","Dh31"
"261","Bace"
"262","rost"
"263","CG9555"
"264","Try29F"
"265","CG9568"
"266","Aldh"
"267","CG4839"
"268","Sur"
"269","AstC"
"270","Vha100-5"
"271","CG44008"
"272","dmGlut"
"273","Cyp28a5"
"274","nAChRalpha5"
"275","UK114"
"276","CG4587"
"277","ppk17"
"278","beat-IIIb"
"279","Fas3"
"280","CG10621"
"281","CG15169"
"282","CG10650"
"283","lectin-37Db"
"284","CG10337"
"285","CG17570"
"286","Hr38"
"287","mt:Cyt-b"
